Text,Label,Score,text_cleaned
Depression sucks! #depression,sadness,0.958,depression suck depression
Feeling worthless as always #depression,sadness,0.958,feeling worthless depression
Feeling worthless as always ,sadness,0.958,feeling worthless
My #Fibromyalgia has been really bad lately which is not good for my mental state. I feel very overwhelmed #anxiety #bipolar #depression,sadness,0.946,fibromyalgia really bad lately not good mental state feel overwhelmed anxiety bipolar depression
Im think ima lay in bed all day and sulk. Life is hitting me to hard rn,sadness,0.934,im think ima lay bed day sulk life hitting hard rn
So when I try I fail... and when I don't try... I still fail... #confused and #lost,sadness,0.917,try fail not try fail confused lost
Extreme sadness,sadness,0.917,extreme sadness
my life in one word is depressing,sadness,0.917,life word depressing
Panic attacks are the worst. Feeling really sick and still shaking. I should be a sleep. #anxiety #depression,sadness,0.917,panic attack worst feeling really sick shaking sleep anxiety depression
Feel so grim + ugly atm,sadness,0.8959999999999999,feel grim ugly atm
Honestly depression is kicking my ass lately.. 😔,sadness,0.8959999999999999,honestly depression kicking as lately
At my age all I see is gray. Is it gray because of my bad eyes or my perspective #depression  #healingjustice,sadness,0.8959999999999999,age gray gray bad eye perspective depression healingjustice
"After 3 idk why I start feeling so depress, sad and lonely.",sadness,0.8959999999999999,idk start feeling depress sad lonely
I sulk too much for my own good.,sadness,0.8959999999999999,sulk good
A night where depression is winning... #depression #fml #help,sadness,0.8959999999999999,night depression winning depression fml help
Going home is depressing,sadness,0.8959999999999999,going home depressing
We can't even grieve over one black body before another one pops up due to pig brutality,sadness,0.892,grieve black body pop pig brutality
It's a gloomy ass day,sadness,0.888,gloomy as day
@Fra93_bruno wow I'm just really sadden by that. Terrible,sadness,0.875,wow just really sadden that terrible
My heads still in Ibiza but my body is sat at me desk at work #depressing,sadness,0.875,head ibiza body sat desk work depressing
@Ashleyavitia_ don't leave me #sad,sadness,0.875,not leave sad
Depression sucks! ,sadness,0.875,depression suck
It's been a week of awful connectivity with @TMobile no service or only 4G is not what Im paying for. #unhappy #poorservice,sadness,0.87,week awful connectivity service g not im paying for unhappy poorservice
This the most depressing shit ever,sadness,0.861,depressing shit
Sometimes The Worst Place You Can Be Is In Your Own Head.'\n\n#quotes #worstenemy #depression #thinktoomuch,sadness,0.8540000000000001,worst place headnn quote worstenemy depression thinktoomuch
"@TMobileHelp my service is down in Cleveland, OH. What's going on? #unhappy",sadness,0.8540000000000001,service cleveland oh going on unhappy
What a sad evening - clearing out all of Harvey's cage and belongings. Now so final. Goodbye my little man.... #depressing,sadness,0.8540000000000001,sad evening clearing harvey cage belonging final goodbye little man depressing
When you have 15 doe run the opposite side of you 🙁 #depression,sadness,0.8540000000000001,doe run opposite depression
The moment of the day when you have to start to plaster a smile in your face. #depression,sadness,0.8540000000000001,moment day start plaster smile face depression
